,Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
216,2022,16.0,11,255.0,1.227999999995518,3.0,26.0,27.0,1
217,2022,1.0,2,78.0,0.7430000000003929,4.0,19.0,26.0,0
218,2022,47.0,3,26.0,6.2150000000001455,1.0,25.0,26.0,0
219,2022,47.0,4,82.0,1.7309999999997672,0.0,23.5,23.5,0
220,2022,47.0,9,99.0,0.9870000000009896,0.0,13.5,13.0,0
221,2022,47.0,6,131.0,7.755000000001019,18.0,12.0,20.0,0
222,2022,28.0,5,26.0,1.425000000000182,2.0,25.0,27.0,1
223,2022,28.0,2,53.0,7.275000000000546,5.0,26.0,29.0,1
224,2022,28.0,4,163.0,3.5159999999996217,0.0,11.0,11.0,1
225,2022,28.0,3,242.0,4.334000000002561,3.0,26.0,28.0,1
226,2022,28.0,2,266.0,2.8920000000071013,2.0,23.0,21.0,0
227,2022,21.0,3,99.0,3.610000000000582,0.0,13.5,13.0,1
228,2022,21.0,6,163.0,2.1970000000001164,0.0,11.0,11.0,0
229,2022,21.0,6,187.0,2.103000000002794,0.0,19.5,19.5,0
230,2022,66.0,3,82.0,7.268000000000029,0.0,24.5,10.5,0
231,2022,66.0,10,95.0,1.3890000000010332,4.0,11.0,13.5,0
232,2022,66.0,13,148.0,1.6129999999975553,0.0,11.5,11.5,1
233,2022,66.0,11,279.0,3.508999999998196,0.0,20.0,23.0,0
234,2022,12.0,9,13.0,1.0419999999999163,15.0,12.0,27.0,1
235,2022,12.0,7,99.0,2.496000000001004,0.0,13.0,13.5,0
236,2022,12.0,5,149.0,1.069999999999709,0.0,14.0,4.0,0
237,2022,12.0,7,163.0,2.9939999999987776,0.0,11.0,11.0,0
238,2022,12.0,5,187.0,0.9290000000000872,0.0,19.5,19.5,1
239,2022,12.0,5,267.0,9.974999999998545,0.0,20.0,20.0,1
240,2022,59.0,7,82.0,3.448999999998705,0.0,24.5,23.5,0
241,2022,59.0,5,99.0,4.478000000000975,0.0,13.5,13.0,1
242,2022,59.0,6,149.0,6.941999999999098,0.0,19.0,19.0,0
243,2022,59.0,8,163.0,2.563000000001921,0.0,11.0,11.0,1
244,2022,39.0,5,27.0,7.891000000000076,2.0,26.0,28.0,1
245,2022,39.0,10,42.0,5.393000000000029,15.0,14.0,28.0,0
246,2022,57.0,8,13.0,0.1169999999999618,12.0,12.0,24.0,1
247,2022,57.0,4,40.0,1.2530000000006112,15.0,26.0,28.0,1
248,2022,57.0,6,82.0,1.2200000000011642,0.0,10.5,23.5,1
249,2022,57.0,2,99.0,0.7970000000004802,15.0,13.5,25.5,1
250,2022,57.0,2,149.0,5.4870000000009895,0.0,19.0,18.0,0
251,2022,57.0,2,163.0,3.360000000000582,0.0,11.0,11.5,1
252,2022,44.0,10,83.0,5.611000000000786,0.0,20.5,24.0,1
253,2022,44.0,6,99.0,4.701999999999316,0.0,13.0,13.5,0
254,2022,44.0,6,125.0,7.098999999998341,1.0,22.0,23.0,0
255,2022,44.0,7,149.0,0.8330000000023574,0.0,21.0,20.0,0
256,2022,44.0,5,163.0,1.6419999999998254,0.0,11.0,11.0,1
257,2022,44.0,3,187.0,1.4749999999985448,0.0,19.5,19.5,1
258,2022,70.0,15,27.0,1.2899999999999636,14.0,20.0,27.0,1
259,2022,70.0,10,82.0,7.907000000001062,1.0,23.5,24.0,0
260,2022,70.0,9,163.0,8.567999999999302,0.0,10.5,10.5,1
261,2022,70.0,2,187.0,1.4110000000000582,0.0,19.5,19.5,1
262,2022,70.0,2,212.0,0.8689999999987776,4.0,23.5,27.5,0
263,2022,99.0,13,13.0,5.226000000000113,14.0,12.0,25.0,0
264,2022,99.0,11,158.0,0.9819999999999708,6.0,25.5,11.5,1
265,2022,99.0,9,187.0,0.7410000000018044,0.0,18.5,19.5,1
266,2022,42.0,11,83.0,3.5239999999994325,0.0,22.5,20.5,0
267,2022,42.0,10,99.0,4.702000000001135,0.0,13.0,13.5,1
268,2022,32.0,7,27.0,1.1289999999999054,28.0,25.0,28.0,0
269,2022,32.0,8,55.0,5.518000000000029,0.0,20.0,27.0,0
270,2022,32.0,9,83.0,0.5389999999988504,0.0,24.0,7.0,0
271,2022,32.0,8,99.0,2.196999999998297,0.0,13.0,13.5,0
272,2022,32.0,4,187.0,1.0139999999992142,0.0,19.5,19.5,1
273,2022,32.0,4,267.0,4.472000000001572,0.0,22.0,22.0,1
274,2023,93.0,5,55.0,2.24199999999928,0.0,19.0,19.0,0
275,2023,93.0,9,129.0,3.763999999999214,0.0,9.5,13.0,0
276,2023,93.0,8,182.0,7.288999999997031,0.0,15.5,14.0,1
277,2023,12.0,6,55.0,2.4680000000007567,0.0,19.0,18.5,1
278,2023,12.0,9,85.0,0.4850000000005821,0.0,24.0,24.0,1
279,2023,12.0,10,155.0,0.694999999999709,6.0,23.0,29.0,1
280,2023,12.0,4,182.0,2.3070000000006985,0.0,21.0,16.0,0
281,2023,12.0,7,203.0,1.853000000002794,0.0,16.5,16.5,1
282,2023,12.0,8,227.0,3.264999999999418,6.0,22.5,28.5,1
283,2023,1.0,2,55.0,5.456000000000131,0.0,19.0,21.5,1
284,2023,1.0,2,129.0,0.4179999999978463,8.0,13.0,14.5,1
285,2023,1.0,2,182.0,3.4719999999979336,0.0,17.0,20.0,1
286,2023,23.0,7,26.0,0.3419999999996435,1.0,24.0,25.0,0
287,2023,23.0,20,45.0,7.333999999999833,11.0,11.0,19.5,0
288,2023,96.0,3,55.0,5.97899999999936,0.0,21.5,19.0,0
289,2023,96.0,6,76.0,1.22400000000016,10.0,19.0,29.0,1
290,2023,96.0,3,129.0,1.618000000002212,0.0,21.0,21.0,1
291,2023,96.0,5,183.0,4.996999999999389,20.0,14.5,16.5,0
292,2023,96.0,5,203.0,3.3149999999986903,0.0,16.0,16.0,1
293,2023,96.0,10,256.0,9.435000000004948,0.0,22.0,28.0,0
294,2023,16.0,7,12.0,0.6390000000001237,16.0,10.0,26.0,0
295,2023,16.0,14,32.0,6.7979999999997744,0.0,17.0,17.0,1
296,2023,16.0,10,55.0,0.6529999999993379,0.0,19.0,19.0,0
297,2023,16.0,6,77.0,6.503000000000611,9.0,20.0,29.0,1
298,2023,16.0,6,129.0,5.044000000001688,0.0,19.5,9.5,0
299,2023,16.0,3,182.0,2.574000000000524,0.0,15.5,21.0,1
300,2023,16.0,11,203.0,1.9180000000014843,0.0,16.5,16.5,0
301,2023,16.0,12,224.0,7.881000000001222,6.0,19.0,25.5,1
302,2023,16.0,10,244.0,0.5800000000017462,14.0,19.0,25.0,1
303,2023,16.0,4,264.0,4.028999999994994,6.0,19.0,8.5,0
304,2023,78.0,18,55.0,4.686999999999898,0.0,15.5,22.0,1
305,2023,78.0,12,155.0,8.90899999999965,0.0,23.0,23.0,0
306,2023,78.0,9,182.0,3.625,0.0,14.0,15.5,0
307,2023,78.0,12,203.0,2.1299999999973807,0.0,16.5,15.5,0
308,2023,47.0,15,55.0,1.8419999999996437,0.0,22.0,19.0,0
309,2023,47.0,7,182.0,0.853000000002794,0.0,18.0,14.0,1
310,2023,70.0,15,75.0,0.4279999999998836,10.0,17.5,28.0,1
311,2023,70.0,8,94.0,0.3950000000004365,23.0,18.0,30.0,0
312,2023,70.0,13,125.0,0.875,5.0,16.0,17.0,0
313,2023,70.0,6,203.0,0.9290000000000872,0.0,16.5,16.5,1
314,2023,83.0,16,55.0,0.8230000000003201,0.0,18.5,10.5,0
315,2023,83.0,14,182.0,4.8729999999995925,0.0,14.0,18.0,0
316,2023,83.0,14,203.0,3.994999999998981,0.0,15.5,16.5,0
317,2023,91.0,11,55.0,2.7490000000007058,0.0,19.0,19.0,0
318,2023,91.0,9,203.0,1.370999999999185,0.0,16.0,16.0,0
319,2023,91.0,6,257.0,5.514000000002852,4.0,22.0,27.0,1
320,2023,91.0,2,278.0,2.0649999999950523,2.0,14.5,13.5,0
321,2023,21.0,13,55.0,0.774000000000342,0.0,19.0,18.5,0
322,2023,27.0,12,55.0,2.081999999999425,0.0,18.5,19.0,0
323,2023,27.0,7,77.0,4.244000000000597,8.0,20.0,28.0,0
