"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"7","GTP","Josef Newgarden","472","1:38.124","14:41:57.897","Green","Track","24.351","45.638","28.135"
"24","GTP","Dries Vanthoor","458","1:37.759","14:41:58.266","Green","Track","24.124","45.558","28.077"
"85","GTP","Tijmen van der Helm","471","1:38.124","14:42:08.844","Green","Track","23.926","45.688","28.510"
"10","GTP","Ricky Taylor","374","1:38.320","14:42:10.267","Green","Track","24.385","45.510","28.425"
"77","GTDPRO","Seb Priaulx","439","1:48.450","14:42:11.112","Green","Track","25.732","50.690","32.028"
"64","GTDPRO","Mike Rockenfeller","434","1:48.241","14:42:13.317","Green","Track","25.718","50.387","32.136"
"32","GTD","Kenton Koch","438","1:47.736","14:42:22.160","Green","Track","25.512","50.258","31.966"
"70","GTD","Ollie Millroy","438","1:48.177","14:42:22.954","Green","Track","26.082","50.353","31.742"
"34","GTD","Manny Franco","437","1:48.252","14:42:25.847","Green","Track","25.943","50.546","31.763"
"80","GTD","Rui Pinto de Andrade","438","1:47.991","14:42:26.552","Green","Track","25.666","50.453","31.872"
"21","GTD","Kei Cozzolino","438","1:48.204","14:42:27.827","Green","Track","25.829","50.793","31.582"
"99","LMP2","Matt Brabham","459","1:41.149","14:42:27.868","Green","Track","24.021","47.455","29.673"
"023","GTD","Riccardo Agostini","438","1:48.396","14:42:28.311","Green","Track","25.778","50.841","31.777"
"18","LMP2","Christian Rasmussen","459","1:40.993","14:42:29.041","Green","Track","24.153","47.402","29.438"
"8","LMP2","Ferdinand Habsburg-Lothringen","459","1:40.880","14:42:32.200","Green","Track","23.990","47.239","29.651"
"12","GTD","Frankie Montecalvo","438","1:49.075","14:42:43.403","Green","Track","26.090","50.734","32.251"
"04","LMP2","Colin Braun","459","1:42.837","14:42:45.292","Green","Track","24.632","48.275","29.930"
"86","GTD","Larry ten Voorde","429","1:48.786","14:42:45.828","Green","Track","25.793","50.694","32.299"
"2","LMP2","Ben Hanley","459","1:41.914","14:42:48.583","Green","Track","24.099","47.215","30.600"
"17","GTD","Thomas Merrill","432","1:51.515","14:42:50.051","Green","Track","26.690","52.445","32.380"
"96","GTD","Jens Klingmann","438","1:49.118","14:42:50.132","Green","Track","25.867","51.098","32.153"
"47","GTD","Roberto Lacorte","438","1:52.219","14:42:50.837","Green","Track","26.419","53.197","32.603"
"6","GTP","Kevin Estre","472","1:38.423","14:42:52.772","Green","Track","24.482","45.845","28.096"
"83","GTD","Rahel Frey","438","1:48.239","14:42:54.766","Green","Track","25.940","50.071","32.228"
"81","LMP2","Sebastian Alvarez","457","1:42.635","14:42:55.408","Green","Track","24.378","48.294","29.963"
"78","GTD","Devlin Defrancesco","385","1:49.146","14:42:58.651","Green","Track","25.941","51.022","32.183"
"65","GTDPRO","Joey Hand","438","1:49.627","14:42:58.806","Green","Track","26.033","51.484","32.110"
"74","LMP2","Felipe Fraga","459","1:42.527","14:43:05.004","Green","Track","24.652","48.202","29.673"
"19","GTDPRO","Mirko Bortolotti","427","1:47.836","14:43:08.368","Green","Track","25.497","50.408","31.931"
